!SIL	SIL
<UNK>	SPN
§	s E k S @ n
Á	A A k u t
À	A g R A v i s
ADHOCKOMITÉ	A d h O k k u m i t e
ADHOCKOMITÉANE	A d h O k k u m i t e a n a
ADHOCKOMITÉAR	A d h O k k u m i t e a R
ADHOCKOMITÉEN	A d h O k k u m i t e @ n
AFRICAS	A f R i k A s
AKSIALFJØR	A k s i A l f j y R
AKSIALFJØRA	A k s i A l f j y R A
AKSIALFJØRAS	A k s i A l f j y R a s
AKSIALFJØREN	A k s i A l f j y R @ n
AKSIALFJØRENE	A k s i A l f j y R E n a
AKSIALFJØRENES	A k s i A l f j y R e n @ s
AKSIALFJØRENS	A k s i A l f j y R @ n s
AKSIALFJØRER	A k s i A l f j y R @ R
AKSIALFJØRERS	A k s i A l f j y R a S
AKSIALFJØRS	A k s i A l f j W S
AKSJONSKOMITÉANE	A k S O n s k u m i t e a n a
AKSJONSKOMITÉAR	A k S O n s k u m i t e a R
ALLÉANE	A l l e a n a
ALLÉAR	A l l e a R
ALLVÊRSJAGAR	A l v a R S a g a R
ALLVÊRSJAGARANE	A l v a R S a g a R a n a
ALLVÊRSJAGARAR	A l v a R S a g a R a R
ALLVÊRSJAGAREN	A l v a R S a g a R @ n
ALSVÊR	A l s v @ R
ALSVÊRANE	A l s v e R a n a
ALSVÊRAR	A l s v e R a R
ALSVÊREN	A l s v e R @ n
AMENORÉANE	a m e n u R e a n a
AMENORÉAR	a m e n u R e a R
ANDFÓR	A n n f u R
ANDRÉ	A n n R e
APNÉ	A p n e
APNÉANE	A p n e a n a
APNÉAR	A p n e a R
APNÉEN	A p n e @ n
APOGÉ	a p u g e
APOGÉA	a p u g e A
APOGÉET	a p u g e @ t
APOGÉI	a p u g e i
APRILVÊR	A p R I l v @ R
APRILVÊRA	A p R I l v e R A
APRILVÊRET	A p R I l v e R @ t
APRILVÊRI	A p R I l v e R i
ARBEIDSMØTE	A R b aI d s m y t a
ARBEIDSMØTER	A R b aI d s m y t @ R
ARKÉ	A R k e
ARKÉANE	A R k e a n a
ARKÉAR	A R k e a R
ARKÉEN	A R k e @ n
ARMÉANE	A R m e a n a
ARMÉAR	A R m e a R
ARMÉGEVÆRI	A R m e g e v a R i
ARMÉGRUPPONE	A R m e g R u p u n a
ARMÉGRUPPOR	A R m e g R u p u R
ARMÉKORPSA	A R m e k O R p s A
ARMÉKORPSET	A R m e k O R p s @ t
ARMÉKORPSI	A R m e k O R p s i
ARRANGEMENTSKOMITÉ	A R R A N e m @ n t s k u m i t e
ARRANGEMENTSKOMITÉANE	A R R A N e m @ n t s k u m i t e a n a
ARRANGEMENTSKOMITÉAR	A R R A N e m @ n t s k u m i t e a R
ASVÊR	A s v @ R
ASVÊRA	A s v e R A
ASVÊRET	A s v e R @ t
ASVÊRI	A s v e R i
ATTACHÉANE	A t A S e a n a
ATTACHÉAR	A t A S e a R
AUGEFÓR	a w g e f u R
AUGNEFÓR	a w N n e f u R
AURFÒR	a w R f u R
AURFÒRA	a w R f u R A
AURFÒRENE	a w R f u R E n a
AURFÒRER	a w R f u R @ R
AURFÒRI	a w R f u R i
AUSTANVÊR	a w s t A n v @ R
AUSTANVÊRA	a w s t A n v e R A
AUSTANVÊRET	a w s t A n v e R @ t
AUSTAVÊR	a w s t a v @ R
